iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
163,0.6962664209604437,0.04752142764070375,0.9948770712708066,0.003269181472071794,1.3111192216375203,0.5176273325642394,0.006734460248584598,0.0039673324764061095
164,0.6951500620081036,0.045535808524894736,0.9948770712708066,0.003269181472071794,1.310901093323221,0.5154400465610195,0.006705445855664641,0.003993770142222986
165,0.6944363556009665,0.04429345394436094,0.9948770712708066,0.003269181472071794,1.313097060714296,0.512423874441401,0.006702108459097714,0.003988969680222376
166,0.6951500620081036,0.045535808524894736,0.9948770712708066,0.003269181472071794,1.3148116314381326,0.5108729774711713,0.006695548613186356,0.003989075116924178
167,0.6960452026730652,0.045482127631648335,0.9948770712708066,0.003269181472071794,1.3181460560812637,0.508959636931063,0.006686743240219917,0.004000657295844431
168,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.3177506600979387,0.5091935387246491,0.006681473732301912,0.004007648088502243
169,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.3177506600979387,0.5091935387246491,0.006681473732301912,0.004007648088502243
170,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.317790578157379,0.5092424256124688,0.006675750660046595,0.0040151102282003776
171,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.316511218936144,0.5100042587851927,0.006660752576681457,0.004035091687439483
172,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.3188551690108463,0.5130772660359234,0.006654758231655619,0.004034589567709799
173,0.6980912384786919,0.04568965823030378,0.9948770712708066,0.003269181472071794,1.318856371031473,0.5130786781366787,0.006654757401454436,0.0040345906455064575
174,0.700077672587219,0.04700922933695255,0.9948770712708066,0.003269181472071794,1.3192517334506486,0.5162593956115016,0.006644828231751922,0.004043330438304525
175,0.700077672587219,0.04700922933695255,0.9948770712708066,0.003269181472071794,1.31886170956032,0.5165281623247197,0.006642838665345109,0.004042165769553143
176,0.700077672587219,0.04700922933695255,0.9948770712708066,0.003269181472071794,1.3188622792814222,0.516528980843327,0.006642836531222026,0.0040421678995377856
177,0.6990471874004436,0.046906535244656676,0.9948770712708066,0.003269181472071794,1.3232268873908954,0.5171087497842526,0.006633682922106738,0.004047594305707006
178,0.6990471874004436,0.046906535244656676,0.9948770712708066,0.003269181472071794,1.3240786730452785,0.5166214711632826,0.0066314337684197176,0.00405058588857474
179,0.6990471874004436,0.046906535244656676,0.9948770712708066,0.003269181472071794,1.3291097763992679,0.5227338678792152,0.006622219838215983,0.004062639969285397
180,0.6990471874004436,0.046906535244656676,0.9948770712708066,0.003269181472071794,1.3320087374861935,0.5268692195714094,0.0065798742402959996,0.004037483950059545
181,0.6990471874004436,0.046906535244656676,0.9948770712708066,0.003269181472071794,1.3311430260279502,0.528064831313436,0.006577367156900128,0.004033853005288664
182,0.7000728284260845,0.045927187221369015,0.9948770712708066,0.003269181472071794,1.3332355084207812,0.5242051246970362,0.006567027875376262,0.004035922154918206
